,LATITUDE,LONGITUDE,CRASHES,LOG_CRASHES
0,40.5,-74.25,14,2.6390573296152584
1,40.5,-74.24,27,3.295836866004329
2,40.5,-74.23,2,0.6931471805599453
3,40.51,-74.25,118,4.770684624465665
4,40.51,-74.24,94,4.543294782270004
5,40.51,-74.23,35,3.5553480614894135
6,40.51,-74.22,10,2.302585092994046
7,40.51,-74.21,18,2.8903717578961645
8,40.51,-74.2,2,0.6931471805599453
9,40.52,-74.25,5,1.6094379124341003
10,40.52,-74.24,96,4.564348191467836
11,40.52,-74.23,157,5.056245805348308
12,40.52,-74.22,42,3.7376696182833684
13,40.52,-74.21,29,3.367295829986474
14,40.52,-74.2,63,4.143134726391533
15,40.52,-74.19,29,3.367295829986474
16,40.52,-74.18,2,0.6931471805599453
17,40.52,-74.17,3,1.0986122886681098
18,40.53,-74.24,63,4.143134726391533
19,40.53,-74.23,63,4.143134726391533
20,40.53,-74.22,84,4.430816798843313
21,40.53,-74.21,65,4.174387269895637
22,40.53,-74.2,86,4.454347296253507
23,40.53,-74.19,104,4.6443908991413725
24,40.53,-74.18,24,3.1780538303479458
25,40.53,-74.17,44,3.784189633918261
26,40.53,-74.16,55,4.007333185232471
27,40.53,-74.15,29,3.367295829986474
28,40.54,-74.24,18,2.8903717578961645
29,40.54,-74.23,16,2.772588722239781
30,40.54,-74.22,77,4.343805421853684
31,40.54,-74.21,86,4.454347296253507
32,40.54,-74.2,67,4.204692619390966
33,40.54,-74.19,58,4.060443010546419
34,40.54,-74.18,95,4.553876891600541
35,40.54,-74.17,115,4.74493212836325
36,40.54,-74.16,141,4.948759890378168
37,40.54,-74.15,141,4.948759890378168
38,40.54,-74.14,31,3.4339872044851463
39,40.55,-74.23,13,2.5649493574615367
40,40.55,-74.22,103,4.634728988229636
41,40.55,-74.21,60,4.0943445622221
42,40.55,-74.2,65,4.174387269895637
43,40.55,-74.19,111,4.709530201312334
44,40.55,-74.18,160,5.075173815233827
45,40.55,-74.17,146,4.983606621708336
46,40.55,-74.16,157,5.056245805348308
47,40.55,-74.15,127,4.844187086458591
48,40.55,-74.14,103,4.634728988229636
49,40.55,-74.13,32,3.4657359027997265
50,40.55,-74.12,1,0.0
51,40.55,-74.11,1,0.0
52,40.55,-73.93,1,0.0
53,40.56,-74.21,47,3.8501476017100584
54,40.56,-74.2,94,4.543294782270004
55,40.56,-74.19,35,3.5553480614894135
56,40.56,-74.18,107,4.672828834461906
57,40.56,-74.17,314,5.749392985908253
58,40.56,-74.16,113,4.727387818712341
59,40.56,-74.15,61,4.110873864173311
60,40.56,-74.14,44,3.784189633918261
61,40.56,-74.13,155,5.043425116919247
62,40.56,-74.12,159,5.0689042022202315
63,40.56,-74.11,74,4.30406509320417
64,40.56,-74.1,26,3.258096538021482
65,40.56,-73.93,4,1.3862943611198906
66,40.56,-73.92,9,2.1972245773362196
67,40.56,-73.91,14,2.6390573296152584
68,40.56,-73.9,3,1.0986122886681098
69,40.57,-74.19,13,2.5649493574615367
70,40.57,-74.18,19,2.9444389791664403
71,40.57,-74.17,129,4.859812404361672
72,40.57,-74.16,7,1.9459101490553132
73,40.57,-74.15,77,4.343805421853684
74,40.57,-74.14,65,4.174387269895637
75,40.57,-74.13,99,4.59511985013459
76,40.57,-74.12,150,5.0106352940962555
77,40.57,-74.11,551,6.311734809152915
78,40.57,-74.1,53,3.970291913552122
79,40.57,-74.09,81,4.394449154672439
80,40.57,-74.08,3,1.0986122886681098
81,40.57,-74.01,6,1.791759469228055
82,40.57,-74.0,158,5.062595033026967
83,40.57,-73.99,168,5.123963979403259
84,40.57,-73.98,19,2.9444389791664403
85,40.57,-73.97,17,2.833213344056216
86,40.57,-73.95,1,0.0
87,40.57,-73.89,5,1.6094379124341003
88,40.57,-73.88,8,2.0794415416798357
89,40.57,-73.86,24,3.1780538303479458
90,40.57,-73.85,9,2.1972245773362196
91,40.58,-74.19,18,2.8903717578961645
92,40.58,-74.17,223,5.407171771460119
93,40.58,-74.16,116,4.7535901911063645
