,Year,Month,Counts,Date
0,2019,1,15539,2019-01-01
1,2019,2,14761,2019-02-01
2,2019,3,16324,2019-03-01
3,2019,4,15385,2019-04-01
4,2019,5,17937,2019-05-01
5,2019,6,17843,2019-06-01
6,2019,7,16944,2019-07-01
7,2019,8,15802,2019-08-01
8,2019,9,16153,2019-09-01
9,2019,10,16023,2019-10-01
10,2019,11,15481,2019-11-01
11,2019,12,15628,2019-12-01
12,2020,1,13229,2020-01-01
13,2020,2,12577,2020-02-01
14,2020,3,10188,2020-03-01
15,2020,4,3797,2020-04-01
16,2020,5,5688,2020-05-01
17,2020,6,7031,2020-06-01
18,2020,7,8530,2020-07-01
19,2020,8,9059,2020-08-01
20,2020,9,8776,2020-09-01
21,2020,10,8912,2020-10-01
22,2020,11,8327,2020-11-01
23,2020,12,7722,2020-12-01
24,2021,1,7122,2021-01-01
25,2021,2,6456,2021-02-01
26,2021,3,7131,2021-03-01
27,2021,4,8066,2021-04-01
28,2021,5,9417,2021-05-01
29,2021,6,9758,2021-06-01
30,2021,7,9214,2021-07-01
31,2021,8,8988,2021-08-01
32,2021,9,8918,2021-09-01
33,2021,10,9293,2021-10-01
34,2021,11,8642,2021-11-01
35,2021,12,7885,2021-12-01
36,2022,1,7312,2022-01-01
37,2022,2,6485,2022-02-01
38,2022,3,8107,2022-03-01
39,2022,4,7216,2022-04-01
40,2022,5,7816,2022-05-01
41,2022,6,8431,2022-06-01
42,2022,7,8126,2022-07-01
43,2022,8,8206,2022-08-01
44,2022,9,8195,2022-09-01
45,2022,10,8134,2022-10-01
46,2022,11,7500,2022-11-01
47,2022,12,7550,2022-12-01
48,2023,1,6889,2023-01-01
49,2023,2,6392,2023-02-01
50,2023,3,7512,2023-03-01
51,2023,4,7120,2023-04-01
52,2023,5,8137,2023-05-01
53,2023,6,7580,2023-06-01
54,2023,7,7599,2023-07-01
55,2023,8,7399,2023-08-01
56,2023,9,7663,2023-09-01
57,2023,10,8013,2023-10-01
58,2023,11,7291,2023-11-01
59,2023,12,7404,2023-12-01
60,2024,1,7045,2024-01-01
61,2024,2,6406,2024-02-01
62,2024,3,7358,2024-03-01
63,2024,4,6682,2024-04-01
64,2024,5,7584,2024-05-01
65,2024,6,7297,2024-06-01
66,2024,7,5093,2024-07-01
