,LATITUDE,LONGITUDE,CRASHES,LOG_CRASHES
0,40.499,-74.244,1,0.0
1,40.5,-74.239,1,0.0
2,40.5,-74.238,2,0.6931471805599453
3,40.501,-74.244,1,0.0
4,40.501,-74.241,1,0.0
5,40.501,-74.24,1,0.0
6,40.501,-74.237,1,0.0
7,40.502,-74.245,1,0.0
8,40.502,-74.243,2,0.6931471805599453
9,40.502,-74.241,1,0.0
10,40.502,-74.235,1,0.0
11,40.502,-74.233,1,0.0
12,40.503,-74.252,5,1.6094379124341003
13,40.503,-74.25,1,0.0
14,40.503,-74.245,1,0.0
15,40.503,-74.239,1,0.0
16,40.503,-74.237,2,0.6931471805599453
17,40.504,-74.25,1,0.0
18,40.504,-74.249,1,0.0
19,40.504,-74.248,1,0.0
20,40.504,-74.247,2,0.6931471805599453
21,40.504,-74.245,2,0.6931471805599453
22,40.504,-74.244,2,0.6931471805599453
23,40.504,-74.243,1,0.0
24,40.504,-74.238,1,0.0
25,40.505,-74.248,1,0.0
26,40.505,-74.247,1,0.0
27,40.505,-74.244,1,0.0
28,40.505,-74.243,4,1.3862943611198906
29,40.505,-74.242,2,0.6931471805599453
30,40.505,-74.241,4,1.3862943611198906
31,40.505,-74.24,2,0.6931471805599453
32,40.505,-74.239,2,0.6931471805599453
33,40.505,-74.238,1,0.0
34,40.505,-74.23,1,0.0
35,40.505,-74.229,1,0.0
36,40.506,-74.251,1,0.0
37,40.506,-74.245,1,0.0
38,40.506,-74.244,1,0.0
39,40.506,-74.238,6,1.791759469228055
40,40.506,-74.237,1,0.0
41,40.506,-74.235,3,1.0986122886681098
42,40.507,-74.253,1,0.0
43,40.507,-74.252,1,0.0
44,40.507,-74.25,1,0.0
45,40.507,-74.249,1,0.0
46,40.507,-74.247,1,0.0
47,40.507,-74.245,1,0.0
48,40.507,-74.24,1,0.0
49,40.507,-74.239,2,0.6931471805599453
50,40.507,-74.236,1,0.0
51,40.507,-74.235,2,0.6931471805599453
52,40.507,-74.234,1,0.0
53,40.507,-74.233,5,1.6094379124341003
54,40.508,-74.255,2,0.6931471805599453
55,40.508,-74.254,1,0.0
56,40.508,-74.251,1,0.0
57,40.508,-74.25,2,0.6931471805599453
58,40.508,-74.249,2,0.6931471805599453
59,40.508,-74.246,2,0.6931471805599453
60,40.508,-74.245,1,0.0
61,40.508,-74.243,1,0.0
62,40.508,-74.241,1,0.0
